datetime,average,volume
1311890400000,13.51,7257.51
1311976800000,13.53,6104.38
1312063200000,13.52,45723.44
1312149600000,13.17,21748.09
1312236000000,12.39,57242.69
1312322400000,10.45,90287.33
1312408800000,10.58,50094.1
1312495200000,10.27,30765.69
1312581600000,7.82,102411.73
1312668000000,7.72,89830.96
1312754400000,7.74,34042.22
1312840800000,9.72,114472.78
1312927200000,10,24254.45
1313013600000,9.47,58114.56
1313100000000,9.32,41592.12
1313186400000,9.8,29759.76
1313272800000,10.61,44142.85
1313359200000,11.3,38183.53
1313445600000,11.05,15334.63
1313532000000,10.88,22939.98
1313618400000,10.9,8222.8
1313704800000,11.4,33765.21
1313791200000,11.49,9940.27
1313877600000,11.38,8787.2
1313964000000,11.03,37055.32
1314050400000,11.03,12797.1
1314136800000,10.94,7852.55
1314223200000,10.01,55547.42
1314309600000,8.65,83026.56
1314396000000,8.63,22010.04
1314482400000,8.97,24159.85
1314568800000,8.93,21685.29
1314655200000,8.78,11810.88
1314741600000,8.35,19683.08
1314828000000,8.22,11912.68
1314914400000,8.44,16836.29
1315000800000,8.53,6975.23
1315087200000,8.17,19719.6
1315173600000,7.62,30846.84
1315260000000,6.73,82558.56
1315346400000,7.03,49687.4
1315432800000,6.8,31944.44
1315519200000,5.31,217540.23
1315605600000,5.03,44639.39
1315692000000,6.06,145150.7
1315778400000,6.04,64182.61
1315864800000,5.79,26147.95
1315951200000,5.55,45360.18
1316037600000,4.97,88688.37
1316124000000,4.81,32338.46
1316210400000,4.77,23095.8
1316296800000,5.11,47284.85
1316383200000,5.26,52915.08
1316469600000,6.1,120257.28
1316556000000,5.62,71983.35
1316642400000,5.49,35211.01
1316728800000,5.59,57873.1
1316815200000,5.41,20257.37
1316901600000,5.32,12219.25
1316988000000,4.95,58824.78
1317074400000,4.84,32240.24
1317160800000,4.74,35035.38
1317247200000,4.7,16923.63
1317333600000,5.01,42893.6
1317420000000,5.05,23967.33
1317506400000,4.98,10982.6
1317592800000,4.94,19569.47
1317679200000,4.9,20007.76
1317765600000,4.86,20570.04
1317852000000,4.68,57609.01
1317938400000,4.29,98871.79
1318024800000,4.03,40238.24
1318111200000,4.19,38169.59
1318197600000,4.1,17580.38
1318284000000,3.95,41837.43
1318370400000,4.07,70098.1
1318456800000,4.08,20669.62
1318543200000,4,21444.18
1318629600000,3.89,42895.66
1318716000000,3.64,37512.1
1318802400000,2.85,208676.35
1318888800000,2.62,88365.65
1318975200000,2.28,102479.86
1319061600000,2.31,49371.88
1319148000000,2.54,73851.07
1319234400000,3.01,121360.17
1319320800000,3.08,37764.56
1319407200000,2.81,92803.84
1319493600000,2.74,102426.43
1319580000000,2.75,30326.81
